"UserId","JobId"
"1","386"
"1","396"
"1","401"
"1","527"
"1","972"
"1","1174"
"1","1247"
"1","1275"
"1","1414"
"1","1513"
"1","1550"
"1","1582"
"1","1658"
"1","1941"
"4","591"
"4","741"
"4","741"
"4","1309"
"39289","741"
"39303","1"
"39303","4"
"39303","671"
"39303","739"
"39303","741"
"39304","741"
"39306","111"
"39306","218"
"39307","741"
"39307","1503"
"39342","959"
"39342","1229"
"39342","1365"
"39342","1374"
"39342","1485"
"39342","1608"
"39342","1662"
"39342","1760"
"39342","1779"
"39342","1942"
"39370","312"
"39370","2125"
"39418","1455"
"39503","528"
"39503","535"
"39503","741"
"39503","1006"
"39503","1672"
"39503","1814"
"39503","1972"
"39531","986"
"39551","1507"
"39551","1555"
"39551","1734"
"39551","1942"
"39631","671"
"39631","741"
"39682","1355"
"39682","1480"
"39682","1759"
"39716","720"
"39716","1069"
"39716","1093"
"39716","1555"
"39716","1607"
"39716","1633"
"39733","675"
"39733","741"
"39733","1662"
"39734","1374"
"39734","1937"
"39735","124"
"39735","372"
"39735","836"
"39735","1260"
"39735","1269"
"39735","1272"
"39735","1299"
"39735","1320"
"39735","1355"
"39735","1465"
"39735","1523"
"39735","1650"
"39735","1664"
"39735","1965"
"39736","19"
"39736","42"
"39736","48"
"39736","139"
"39736","177"
"39736","367"
"39736","370"
"39736","410"
"39736","668"
"39736","706"
"39736","1082"
"39736","1316"
"39736","1344"
"39736","1428"
"39736","1465"
"39736","1474"
"39736","1481"
"39736","1536"
"39738","248"
"39738","1642"
"39738","1645"
"39738","1647"
"39738","1735"
"39738","1975"
"39738","1996"
"39738","2024"
"39740","34"
"39740","76"
"39740","120"
"39740","158"
"39740","214"
"39740","386"
"39740","589"
"39740","608"
"39740","663"
"39740","793"
"39740","810"
"39740","1184"
"39740","1188"
"39740","1222"
"39740","1253"
"39740","1276"
"39740","1305"
"39740","1326"
"39740","1332"
"39740","1388"
"39740","1418"
"39740","1422"
"39740","1642"
"39740","1678"
"39740","1725"
"39740","1733"
"39740","1794"
"39740","1808"
"39740","1832"
"39740","1884"
"39740","1893"
"39740","1903"
"39740","1913"
"39740","1928"
"39740","2006"
"39740","2078"
"39740","2126"
"39740","2141"
"39740","2144"
"39799","119"
"39800","33"
"39800","36"
"39800","38"
"39800","87"
"39800","541"
"39800","663"
"39800","1600"
"39800","1700"
"39800","1936"
"39800","1976"
"39800","2057"
"39806","306"
"39806","1048"
"39806","1091"
"39806","1318"
"39806","1356"
"39806","1659"
"39806","1936"
"39806","1968"
"39815","53"
"39815","159"
"39815","201"
"39815","249"
"39815","252"
"39815","350"
"39815","380"
"39815","423"
"39815","425"
"39815","443"
"39815","447"
"39815","502"
"39815","504"
"39815","512"
"39815","539"
"39815","617"
"39815","671"
"39815","741"
"39815","777"
"39815","845"
"39815","879"
"39815","915"
"39815","922"
"39815","923"
"39815","928"
"39815","1017"
"39815","1021"
"39815","1022"
"39815","1048"
"39815","1110"
"39815","1132"
"39815","1145"
"39815","1188"
"39815","1198"
"39815","1205"
"39815","1224"
"39815","1245"
"39815","1253"
"39815","1269"
"39815","1278"
"39815","1279"
"39815","1282"
"39815","1318"
"39815","1337"
"39815","1421"
"39815","1458"
"39815","1480"
"39815","1485"
"39815","1519"
"39815","1557"
"39815","1610"
"39815","1612"
"39815","1616"
"39815","1626"
"39815","1629"
"39815","1635"
"39815","1663"
"39815","1664"
"39815","1716"
"39815","1746"
"39815","1759"
"39815","1760"
"39815","1773"
"39815","1942"
"39815","2044"
"39815","2061"
"39815","2064"
"39815","2089"
"39815","2128"
"39815","2131"
"39815","2134"
"39815","2140"
"39816","70"
"39816","120"
"39816","252"
"39816","374"
"39816","741"
"39816","1573"
"39816","1668"
"39816","1794"
"39816","1800"
"39816","1880"
"39816","1973"
"39816","1975"
"39816","1978"
"39816","1979"
"39816","2042"
"39816","2178"
"39817","741"
"39837","741"
"39854","170"
"39854","560"
"39854","741"
"39854","768"
"39854","1386"
"39854","1399"
"39854","1466"
"39854","1493"
"39854","1512"
"39854","1514"
"39854","1591"
"39854","1646"
"39854","1800"
"39856","70"
"39856","87"
"39856","120"
"39856","741"
"39856","1545"
"39856","1812"
"39856","1976"
"39856","1979"
"39865","73"
"39865","566"
"39865","777"
"39865","1017"
"39865","1022"
"39865","1229"
"39865","1253"
"39865","1365"
"39865","1374"
"39865","1414"
"39865","1485"
"39865","1755"
"39865","1760"
"39865","1942"
"39865","2166"
"39889","28"
"39889","77"
"39889","1339"
"39892","1586"
"39900","159"
"39905","33"
"39905","77"
"39905","123"
"39905","221"
"39905","230"
"39905","231"
"39905","241"
"39905","371"
"39905","374"
"39905","570"
"39905","720"
"39905","775"
"39905","778"
"39905","882"
"39905","959"
"39905","1341"
"39905","1371"
"39905","1416"
"39905","1555"
"39905","1779"
"39905","1810"
"39905","1856"
"39905","1909"
"39905","2047"
"39905","2125"
"39907","13"
"39907","15"
"39907","70"
"39907","105"
"39907","107"
"39907","120"
"39907","274"
"39907","535"
"39907","663"
"39907","684"
"39907","854"
"39907","1053"
"39907","1054"
"39907","1176"
"39907","1177"
"39907","1182"
"39907","1188"
"39907","1367"
"39907","1392"
"39907","1403"
"39907","1416"
"39907","1429"
"39907","1446"
"39907","1538"
"39907","1600"
"39907","1640"
"39907","1733"
"39907","1735"
"39907","1746"
"39907","1784"
"39907","1806"
"39907","1919"
"39907","1970"
"39907","1976"
"39907","1979"
"39907","2022"
"39907","2042"
"39907","2049"
"39907","2057"
"39914","32"
"39914","156"
"39914","328"
"39914","380"
"39914","425"
"39914","443"
"39914","447"
"39914","502"
"39914","504"
"39914","512"
"39914","602"
"39914","617"
"39914","962"
"39914","963"
"39914","1048"
"39914","1145"
"39914","1318"
"39914","1355"
"39914","1359"
"39914","1454"
"39914","1480"
"39914","1485"
"39914","1557"
"39914","1576"
"39914","1635"
"39914","1646"
"39914","1651"
"39914","1659"
"39914","1661"
"39914","1664"
"39914","1759"
"39914","1760"
"39914","1955"
"39914","2085"
"39914","2097"
"39924","1755"
"39924","1801"
"39925","375"
"39925","1814"
"39926","38"
"39926","663"
"39926","1276"
"39926","1600"
"39926","1607"
"39926","2144"
"39927","8"
"39927","88"
"39927","123"
"39927","127"
"39927","143"
"39927","157"
"39927","202"
"39927","306"
"39927","328"
"39927","443"
"39927","444"
"39927","503"
"39927","514"
"39927","547"
"39927","555"
"39927","556"
"39927","602"
"39927","617"
"39927","680"
"39927","777"
"39927","800"
"39927","816"
"39927","836"
"39927","855"
"39927","932"
"39927","950"
"39927","952"
"39927","1002"
"39927","1022"
"39927","1048"
"39927","1086"
"39927","1151"
"39927","1202"
"39927","1259"
"39927","1269"
"39927","1318"
"39927","1355"
"39927","1356"
"39927","1385"
"39927","1448"
"39927","1576"
"39927","1646"
"39927","1658"
"39927","1664"
"39927","1719"
"39927","1759"
"39927","1892"
"39927","1949"
"39927","1996"
"39927","2097"
"39928","688"
"39929","443"
"39929","444"
"39929","651"
"39929","812"
"39929","1025"
"39929","1072"
"39929","1258"
"39929","1355"
"39929","1926"
"39929","2123"
"39932","120"
"39932","666"
"39932","1072"
"39932","1262"
"39932","1295"
"39932","1448"
"39932","1552"
"39932","1555"
"39932","1567"
"39932","1607"
"39932","1645"
"39932","1733"
"39932","2049"
"39933","339"
"39933","1975"
"39934","108"
"39935","274"
"39935","562"
"39935","663"
"39935","966"
"39935","1164"
"39935","1307"
"39935","1316"
"39935","1371"
